Paper ID,Order,Type,Title,Authors
237,141,AP,Event Retrieval in Large Video Collections with Circulant Temporal Encoding,Jerome Revaud@ Matthijs Douze@ Cordelia Schmid@ Hervé Jégou
462,142,AP,Cumulative Attribute Space for Age and Crowd Density Estimation,Ke Chen@ Shaogang Gong@ Tao Xiang@ Chen Change Loy
334,143,AP,Social Role Discovery in Human Events,Vignesh Ramanathan@ Bangpeng Yao@ Li Fei-Fei
657,144,AP,Discriminative Segment Annotation in Weakly Labeled Video,Kevin Tang@ Rahul Sukthankar@ Jay Yagnik@ Li Fei-Fei
1531,145,AP,Context-Aware Modeling and Recognition of Activities in Video,Yingying Zhu@ Nandita M. Nayak@ Amit K. Roy-Chowdhury
,145.1,SD,Session: Geometry and Physics,
770,146,AP,Underwater Camera Calibration Using Wavelength Triangulation,Timothy Yau@ Minglun Gong@ Yee-Hong Yang
196,147,AP,Reconstructing Gas Flows Using Light-Path Approximation,Yu Ji@ Jinwei Ye@ Jingyi Yu
858,148,AP,Photometric Ambient Occlusion,Daniel Hauagge@ Scott Wehrwein@ Kavita Bala@ Noah Snavely
1320,149,AP,What Object Motion Reveals about Shape with Unknown BRDF and Lighting,Manmohan Chandraker@ Dikpal Reddy@ Yizhou Wang@ Ravi Ramamoorthi
,149.1,SD,Session: Geometry and Physics + Medical,
1477,150,AP,Hyperbolic Harmonic Mapping for Constrained Brain Surface Registration,Rui Shi@ Wei Zeng@ Zhengyu Su@ Hanna Damasio@ Zhonglin Lu@ Yalin Wang@ Shing-Tung Yau@ Xianfeng Gu
,150.1,SD,Session: Context and Scenes,
642,151,AP,Spatial Inference Machines,Roman Shapovalov@ Dmitry Vetrov@ Pushmeet Kohli
484,152,AP,Hallucinated Humans as the Hidden Context for Labeling 3D Scenes,Yun Jiang@ Hema Koppula@ Ashutosh Saxena
286,153,AP,Finding Things: Image Parsing with Regions and Per-Exemplar Detectors,Joseph Tighe@ Svetlana Lazebnik
538,154,AP,Bringing Semantics into Focus Using Visual Abstraction,C. Lawrence Zitnick@ Devi Parikh
,154.1,SD,Session: Context and Scenes + ANN,
1424,155,AP,Cartesian K-Means,Mohammad Norouzi@ David J. Fleet
,155.1,SD,Session: Faces@ People@ and Crowds,
1152,156,AP,Blessing of Dimensionality: High-Dimensional Feature and Its Efficient Compression for Face Verification,Dong Chen@ Xudong Cao@ Fang Wen@ Jian Sun
118,157,AP,Robust Multi-resolution Pedestrian Detection in Traffic Scenes,Junjie Yan@ Xucong Zhang@ Zhen Lei@ Shengcai Liao@ Stan Z. Li
1345,158,AP,Human Pose Estimation Using Body Parts Dependent Joint Regressors,Matthias Dantone@ Juergen Gall@ Christian Leistner@ Luc Van Gool
511,159,AP,Measuring Crowd Collectiveness,Bolei Zhou@ Xiaoou Tang@ Xiaogang Wang
1245,160,AP,Lost! Leveraging the Crowd for Probabilistic Visual Self-Localization,Marcus A. Brubaker@ Andreas Geiger@ Raquel Urtasun
,200.1,SD,Poster Session: 3D and Stereo,
252,201,AP,Manhattan Scene Understanding via XSlit Imaging,Jinwei Ye@ Yu Ji@ Jingyi Yu
1643,202,AP,Discovering the Structure of a Planar Mirror System from Multiple Observations of a Single Point,Ilya Reshetouski@ Alkhazur Manakov@ Ayush Bandhari@ Ramesh Raskar@ Hans-Peter Seidel@ Ivo Ihrke
1847,203,AP,Joint 3D Scene Reconstruction and Class Segmentation,Christian Häne@ Christopher Zach@ Andrea Cohen@ Roland Angst@ Marc Pollefeys
2128,204,AP,Tensor-Based Human Body Modeling,Yinpeng Chen@ Zicheng Liu@ Zhengyou Zhang
1996,205,AP,City-Scale Change Detection in Cadastral 3D Models Using Images,Aparna Taneja@ Luca Ballan@ Marc Pollefeys
1126,206,AP,Improving the Visual Comprehension of Point Sets,Sagi Katz@ Ayellet Tal
903,207,AP,Mirror Surface Reconstruction from a Single Image,Miaomiao Liu@ Richard Hartley@ Mathieu Salzmann
955,208,AP,Detecting Changes in 3D Structure of a Scene from Multi-view Images Captured by a Vehicle-Mounted Camera,Ken Sakurada@ Takayuki Okatani@ Koichiro Deguchi
1441,209,AP,Templateless Quasi-rigid Shape Modeling with Implicit Loop-Closure,Ming Zeng@ Jiaxiang Zheng@ Xuan Cheng@ Xinguo Liu
438,210,AP,Understanding Bayesian Rooms Using Composite 3D Object Models,Luca Del_Pero@ Joshua Bowdish@ Bonnie Kermgard@ Emily Hartley@ Kobus Barnard
580,211,AP,Shape from Silhouette Probability Maps: Reconstruction of Thin Objects in the Presence of Silhouette Extraction and Calibration Error,Amy Tabb
897,213,AP,Joint Geodesic Upsampling of Depth Images,Ming-Yu Liu@ Oncel Tuzel@ Yuichi Taguchi
1987,214,AP,Relative Volume Constraints for Single View 3D Reconstruction,Eno Toeppe@ Claudia Nieuwenhuis@ Daniel Cremers
1641,215,AP,Is There a Procedural Logic to Architecture?,Julien Weissenberg@ Hayko Riemenschneider@ Mukta Prasad@ Luc Van_Gool
610,216,AP,Category Modeling from Just a Single Labeling: Use Depth Information to Guide the Learning of 2D Models,Quanshi Zhang@ Xuan Song@ Xiaowei Shao@ Ryosuke Shibasaki@ Huijing Zhao
579,217,AP,Bayesian Grammar Learning for Inverse Procedural Modeling,Andelo Martinovic@ Luc Van_Gool
779,218,AP,Fusing Depth from Defocus and Stereo with Coded Apertures,Yuichi Takeda@ Shinsaku Hiura@ Kosuke Sato
1956,219,AP,Bayesian Depth-from-Defocus with Shading Constraints,Chen Li@ Shuochen Su@ Yasuyuki Matsushita@ Kun Zhou@ Stephen Lin
697,220,AP,Multi-scale Curve Detection on Surfaces,Michael Kolomenkin@ Ilan Shimshoni@ Ayellet Tal
683,221,AP,Intrinsic Characterization of Dynamic Surfaces,Tony Tung@ Takashi Matsuyama
640,222,AP,Pattern-Driven Colorization of 3D Surfaces,George Leifman@ Ayellet Tal
690,223,AP,Three-Dimensional Bilateral Symmetry Plane Estimation in the Phase Domain,Ramakrishna Kakarala@ Prabhu Kaliamoorthi@ Vittal Premachandran
542,224,AP,Axially Symmetric 3D Pots Configuration System Using Axis of Symmetry and Break Curve,Kilho Son@ Eduardo B. Almeida@ David B. Cooper
1357,225,AP,Wide-Baseline Hair Capture Using Strand-Based Refinement,Linjie Luo@ Cha Zhang@ Zhengyou Zhang@ Szymon Rusinkiewicz
1414,226,AP,Dense 3D Reconstruction from Severely Blurred Images Using a Single Moving Camera,Hee Seok Lee@ Kuoung Mu Lee
1417,227,AP,Simultaneous Super-Resolution of Depth and Images Using a Single Camera,Hee Seok Lee@ Kuoung Mu Lee
839,228,AP,Recovering Stereo Pairs from Anaglyphs,Armand Joulin@ Sing Bing Kang
989,229,AP,Exploiting the Power of Stereo Confidences,David Pfeiffer@ Stefan Gehrig@ Nicolai Schneider
1685,230,AP,Ensemble Learning for Confidence Measures in Stereo Vision,Ralf Haeusler@ Rahul Nair@ Daniel Kondermann
1857,231,AP,Segment-Tree Based Cost Aggregation for Stereo Matching,Xing Mei@ Xun Sun@ Weiming Dong@ Haitao Wang@ Xiaopeng Zhang
,231.1,SD,Poster Session: Statistics and Learning,
1373,232,AP,Multi-class Video Co-segmentation with a Generative Multi-video Model,Wei-Chen Chiu@ Mario Fritz
